subj_idx,bias_source,bias_direction,addition_length,quantiles,boundary,value,p,experiment,model_name
S001,mullerlyer,long,30,0.1,q_lower,0.42910938418870664,0.31494666666666754,add_len,dczBDAL_sV
S001,mullerlyer,long,30,0.3,q_lower,0.5677538821459513,0.31494666666666754,add_len,dczBDAL_sV
S001,mullerlyer,long,30,0.5,q_lower,0.7432117974716127,0.31494666666666754,add_len,dczBDAL_sV
S001,mullerlyer,long,30,0.7,q_lower,1.0176673205352953,0.31494666666666754,add_len,dczBDAL_sV
S001,mullerlyer,long,30,0.9,q_lower,1.6769316789763502,0.31494666666666754,add_len,dczBDAL_sV
S001,mullerlyer,long,40,0.1,q_lower,0.437838816479204,0.27654666666666633,add_len,dczBDAL_sV
S001,mullerlyer,long,40,0.3,q_lower,0.5816688582371994,0.27654666666666633,add_len,dczBDAL_sV
S001,mullerlyer,long,40,0.5,q_lower,0.7658028834902052,0.27654666666666633,add_len,dczBDAL_sV
S001,mullerlyer,long,40,0.7,q_lower,1.0475209423134648,0.27654666666666633,add_len,dczBDAL_sV
S001,mullerlyer,long,40,0.9,q_lower,1.6944706811641927,0.27654666666666633,add_len,dczBDAL_sV
S001,mullerlyer,long,50,0.1,q_lower,0.42283578067689825,0.3916266666666679,add_len,dczBDAL_sV
S001,mullerlyer,long,50,0.3,q_lower,0.5573705713868107,0.3916266666666679,add_len,dczBDAL_sV
S001,mullerlyer,long,50,0.5,q_lower,0.7223487673928195,0.3916266666666679,add_len,dczBDAL_sV
S001,mullerlyer,long,50,0.7,q_lower,0.9889779466909315,0.3916266666666679,add_len,dczBDAL_sV
S001,mullerlyer,long,50,0.9,q_lower,1.6313006118093951,0.3916266666666679,add_len,dczBDAL_sV
S001,mullerlyer,long,60,0.1,q_lower,0.44741654614091325,0.33833333333333554,add_len,dczBDAL_sV
S001,mullerlyer,long,60,0.3,q_lower,0.5950293806514242,0.33833333333333554,add_len,dczBDAL_sV
S001,mullerlyer,long,60,0.5,q_lower,0.7750508247773839,0.33833333333333554,add_len,dczBDAL_sV
S001,mullerlyer,long,60,0.7,q_lower,1.0530838981940054,0.33833333333333554,add_len,dczBDAL_sV
S001,mullerlyer,long,60,0.9,q_lower,1.7119848059859704,0.33833333333333554,add_len,dczBDAL_sV
S001,mullerlyer,short,30,0.1,q_lower,0.4592541847157832,0.5043733333333337,add_len,dczBDAL_sV
S001,mullerlyer,short,30,0.3,q_lower,0.6004944640409295,0.5043733333333337,add_len,dczBDAL_sV
S001,mullerlyer,short,30,0.5,q_lower,0.7702421785867868,0.5043733333333337,add_len,dczBDAL_sV
S001,mullerlyer,short,30,0.7,q_lower,1.0312372559573797,0.5043733333333337,add_len,dczBDAL_sV
S001,mullerlyer,short,30,0.9,q_lower,1.6272533654015402,0.5043733333333337,add_len,dczBDAL_sV
S001,mullerlyer,short,40,0.1,q_lower,0.45002885220247213,0.476520000000004,add_len,dczBDAL_sV
S001,mullerlyer,short,40,0.3,q_lower,0.5908451560234965,0.476520000000004,add_len,dczBDAL_sV
S001,mullerlyer,short,40,0.5,q_lower,0.7609758155890695,0.476520000000004,add_len,dczBDAL_sV
S001,mullerlyer,short,40,0.7,q_lower,1.0233552110524402,0.476520000000004,add_len,dczBDAL_sV
S001,mullerlyer,short,40,0.9,q_lower,1.6371669322015676,0.476520000000004,add_len,dczBDAL_sV
S001,mullerlyer,short,50,0.1,q_lower,0.3967714222782247,0.5215199999999962,add_len,dczBDAL_sV
S001,mullerlyer,short,50,0.3,q_lower,0.5125665369695288,0.5215199999999962,add_len,dczBDAL_sV
S001,mullerlyer,short,50,0.5,q_lower,0.6598190271897864,0.5215199999999962,add_len,dczBDAL_sV
S001,mullerlyer,short,50,0.7,q_lower,0.9110848099468443,0.5215199999999962,add_len,dczBDAL_sV
S001,mullerlyer,short,50,0.9,q_lower,1.522889576071415,0.5215199999999962,add_len,dczBDAL_sV
S001,mullerlyer,short,60,0.1,q_lower,0.46009152020214217,0.6086666666666624,add_len,dczBDAL_sV
S001,mullerlyer,short,60,0.3,q_lower,0.5944069578415319,0.6086666666666624,add_len,dczBDAL_sV
S001,mullerlyer,short,60,0.5,q_lower,0.7521769838065173,0.6086666666666624,add_len,dczBDAL_sV
S001,mullerlyer,short,60,0.7,q_lower,0.987653439708799,0.6086666666666624,add_len,dczBDAL_sV
S001,mullerlyer,short,60,0.9,q_lower,1.545048472936839,0.6086666666666624,add_len,dczBDAL_sV
S002,mullerlyer,long,30,0.1,q_lower,0.5150049210016906,0.35032000000000424,add_len,dczBDAL_sV
S002,mullerlyer,long,30,0.3,q_lower,0.6306790581640619,0.35032000000000424,add_len,dczBDAL_sV
S002,mullerlyer,long,30,0.5,q_lower,0.774191265265412,0.35032000000000424,add_len,dczBDAL_sV
S002,mullerlyer,long,30,0.7,q_lower,0.9825277172135288,0.35032000000000424,add_len,dczBDAL_sV
S002,mullerlyer,long,30,0.9,q_lower,1.4744959205762374,0.35032000000000424,add_len,dczBDAL_sV
S002,mullerlyer,long,40,0.1,q_lower,0.47965309136956913,0.30445637583892693,add_len,dczBDAL_sV
S002,mullerlyer,long,40,0.3,q_lower,0.5893813572644173,0.30445637583892693,add_len,dczBDAL_sV
S002,mullerlyer,long,40,0.5,q_lower,0.7278970608868229,0.30445637583892693,add_len,dczBDAL_sV
S002,mullerlyer,long,40,0.7,q_lower,0.9550682664880881,0.30445637583892693,add_len,dczBDAL_sV
S002,mullerlyer,long,40,0.9,q_lower,1.4848895675784863,0.30445637583892693,add_len,dczBDAL_sV
S002,mullerlyer,long,50,0.1,q_lower,0.49776041786350333,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,50,0.3,q_lower,0.614583549704233,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,50,0.5,q_lower,0.7570037702044751,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,50,0.7,q_lower,0.9754204571807094,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,50,0.9,q_lower,1.4989558540809682,0.32849333333333713,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.1,q_lower,0.5260179058340615,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.3,q_lower,0.6509152475472404,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.5,q_lower,0.7986685395735844,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.7,q_lower,1.0213838548252059,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,long,60,0.9,q_lower,1.5275994269326822,0.31833333333333447,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.1,q_lower,0.4772586359735588,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.3,q_lower,0.573024196284986,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.5,q_lower,0.6932062678742932,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.7,q_lower,0.8852635288062597,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,30,0.9,q_lower,1.3411320803085978,0.43549333333333673,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.1,q_lower,0.4909729068180908,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.3,q_lower,0.5907577924145128,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.5,q_lower,0.7081126300068492,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.7,q_lower,0.892987800405149,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,40,0.9,q_lower,1.3339384446138198,0.46012000000001096,add_len,dczBDAL_sV
S002,mullerlyer,short,50,0.1,q_lower,0.4860869938927565,0.49728000000000067,add_len,dczBDAL_sV
S002,mullerlyer,short,50,0.3,q_lower,0.5826455867366944,0.49728000000000067,add_len,dczBDAL_sV
