subj_idx,bias_source,bias_direction,quantiles,boundary,value,p,experiment,model_name
S001,payoff,long,0.1,q_lower,0.4333624543192823,0.26617333333332904,exp2,atvBS_dczBSBD_sV
S001,payoff,long,0.3,q_lower,0.5672855511856789,0.26617333333332904,exp2,atvBS_dczBSBD_sV
S001,payoff,long,0.5,q_lower,0.7294280543250798,0.26617333333332904,exp2,atvBS_dczBSBD_sV
S001,payoff,long,0.7,q_lower,0.9772418037641869,0.26617333333332904,exp2,atvBS_dczBSBD_sV
S001,payoff,long,0.9,q_lower,1.5297929207661178,0.26617333333332904,exp2,atvBS_dczBSBD_sV
S001,payoff,short,0.1,q_lower,0.407432145901916,0.5148733333333323,exp2,atvBS_dczBSBD_sV
S001,payoff,short,0.3,q_lower,0.5099307062723246,0.5148733333333323,exp2,atvBS_dczBSBD_sV
S001,payoff,short,0.5,q_lower,0.6335921748938352,0.5148733333333323,exp2,atvBS_dczBSBD_sV
S001,payoff,short,0.7,q_lower,0.8267210598201664,0.5148733333333323,exp2,atvBS_dczBSBD_sV
S001,payoff,short,0.9,q_lower,1.2952433586528023,0.5148733333333323,exp2,atvBS_dczBSBD_sV
S002,payoff,long,0.1,q_lower,0.48090002963627154,0.3888422876949751,exp2,atvBS_dczBSBD_sV
S002,payoff,long,0.3,q_lower,0.6909679590855896,0.3888422876949751,exp2,atvBS_dczBSBD_sV
S002,payoff,long,0.5,q_lower,0.9367227071675874,0.3888422876949751,exp2,atvBS_dczBSBD_sV
S002,payoff,long,0.7,q_lower,1.3095162984985829,0.3888422876949751,exp2,atvBS_dczBSBD_sV
S002,payoff,long,0.9,q_lower,2.1496420557865603,0.3888422876949751,exp2,atvBS_dczBSBD_sV
S002,payoff,short,0.1,q_lower,0.44995021758991094,0.4843683304647174,exp2,atvBS_dczBSBD_sV
S002,payoff,short,0.3,q_lower,0.6379978464332263,0.4843683304647174,exp2,atvBS_dczBSBD_sV
S002,payoff,short,0.5,q_lower,0.8653122851093898,0.4843683304647174,exp2,atvBS_dczBSBD_sV
S002,payoff,short,0.7,q_lower,1.2196338100643265,0.4843683304647174,exp2,atvBS_dczBSBD_sV
S002,payoff,short,0.9,q_lower,2.0406824461329536,0.4843683304647174,exp2,atvBS_dczBSBD_sV
S003,payoff,long,0.1,q_lower,0.41274075390320547,0.46240273037542795,exp2,atvBS_dczBSBD_sV
S003,payoff,long,0.3,q_lower,0.5968680276362803,0.46240273037542795,exp2,atvBS_dczBSBD_sV
S003,payoff,long,0.5,q_lower,0.8201252027163283,0.46240273037542795,exp2,atvBS_dczBSBD_sV
S003,payoff,long,0.7,q_lower,1.1639888507709542,0.46240273037542795,exp2,atvBS_dczBSBD_sV
S003,payoff,long,0.9,q_lower,1.967110792951798,0.46240273037542795,exp2,atvBS_dczBSBD_sV
