subj_idx,bias_source,bias_direction,addition_length,stim,response,rt
S001,mullerlyer,long,50,1,0,2.322347400000581
S001,mullerlyer,long,50,1,0,1.1877259000002596
S001,mullerlyer,long,50,1,1,0.8109611999998378
S001,mullerlyer,long,50,0,0,1.226617399999668
S001,mullerlyer,long,50,1,1,0.7827815000000555
S001,mullerlyer,long,50,1,1,0.774702900000193
S001,mullerlyer,long,50,0,1,0.8074155000003884
S001,mullerlyer,long,50,0,1,0.7416870999995808
S001,mullerlyer,long,50,1,1,0.7840820000001258
S001,mullerlyer,long,50,1,1,0.6980442000003677
S001,mullerlyer,long,50,0,0,1.3413178000000698
S001,mullerlyer,long,50,1,1,0.5290658000003532
S001,mullerlyer,long,50,0,1,0.7109828000002381
S001,mullerlyer,long,50,1,1,0.518957400000545
S001,mullerlyer,long,50,0,0,0.8328672000006918
S001,mullerlyer,long,50,1,1,0.6747120999998515
S001,mullerlyer,long,50,1,1,0.5935583000000406
S001,mullerlyer,long,50,1,1,0.5622732000001633
S001,mullerlyer,long,50,1,1,0.589745799999946
S001,mullerlyer,long,50,0,1,1.6078125000003638
S001,mullerlyer,long,50,0,1,0.699541599999975
S001,mullerlyer,long,50,1,1,0.640922400000818
S001,mullerlyer,long,50,0,0,0.8486438999998427
S001,mullerlyer,long,50,0,0,1.1759598999997252
S001,mullerlyer,long,50,1,0,1.4709417000003668
S001,mullerlyer,long,50,0,0,0.8357103000007555
S001,mullerlyer,long,50,1,1,0.6766944999999396
S001,mullerlyer,long,50,1,1,0.5064562000006845
S001,mullerlyer,long,50,1,1,0.8223534999997355
S001,mullerlyer,long,50,1,1,0.7502075000002151
S001,mullerlyer,long,50,0,1,1.2908535999995363
S001,mullerlyer,long,50,0,1,1.8722465999999256
S001,mullerlyer,long,50,1,1,0.5543613999998342
S001,mullerlyer,long,50,1,1,0.5797042999993209
S001,mullerlyer,long,50,0,1,0.9969633999999132
S001,mullerlyer,long,50,1,0,1.3163293999996313
S001,mullerlyer,long,50,1,1,0.775605099999666
S001,mullerlyer,long,50,0,1,0.6714507000006051
S001,mullerlyer,long,50,0,0,1.406031699999403
S001,mullerlyer,long,50,1,1,0.6979239000002053
S001,mullerlyer,long,50,1,1,0.738751200000479
S001,mullerlyer,long,50,0,0,0.8333744999999908
S001,mullerlyer,long,50,0,0,1.093214800000169
S001,mullerlyer,long,50,0,0,1.44145749999916
S001,mullerlyer,long,50,0,0,1.0760921000000965
S001,mullerlyer,long,50,1,1,0.78635629999917
S001,mullerlyer,long,50,0,0,0.907734000000346
S001,mullerlyer,long,50,0,1,2.0543397999999797
S001,mullerlyer,long,50,0,1,1.0850126999994243
S001,mullerlyer,long,50,0,0,0.8297699000004286
S001,mullerlyer,short,60,1,0,1.6439362000000983
S001,mullerlyer,short,60,1,1,1.7117796999991697
S001,mullerlyer,short,60,1,1,1.335637500000303
S001,mullerlyer,short,60,0,0,0.6931617999998707
S001,mullerlyer,short,60,1,0,1.8765660999997635
S001,mullerlyer,short,60,0,0,1.0874026999999842
S001,mullerlyer,short,60,1,0,0.8324493000000075
S001,mullerlyer,short,60,0,0,0.6124974000003931
S001,mullerlyer,short,60,0,0,0.575215400000161
S001,mullerlyer,short,60,0,0,1.0256400999996913
S001,mullerlyer,short,60,0,0,0.7659673999996812
S001,mullerlyer,short,60,0,0,0.8345337999999174
S001,mullerlyer,short,60,0,0,0.8394115000000966
S001,mullerlyer,short,60,1,1,0.8335520999999062
S001,mullerlyer,short,60,0,0,1.1354882999994516
S001,mullerlyer,short,60,0,0,0.8996709000002738
S001,mullerlyer,short,60,0,0,0.8975784999993266
S001,mullerlyer,short,60,0,1,2.08836219999921
S001,mullerlyer,short,60,0,1,1.4707142999995997
S001,mullerlyer,short,60,0,1,0.87031879999995
S001,mullerlyer,short,60,0,0,1.0401015999996162
S001,mullerlyer,short,60,0,0,0.5546263999995062
S001,mullerlyer,short,60,0,0,0.7508343999998033
S001,mullerlyer,short,60,0,0,1.1499258000003465
S001,mullerlyer,short,60,1,1,0.7022218000001885
S001,mullerlyer,short,60,0,0,1.1366011000000071
S001,mullerlyer,short,60,1,1,0.6412683999997171
S001,mullerlyer,short,60,0,0,1.041374800000085
S001,mullerlyer,short,60,1,1,0.47069459999966057
S001,mullerlyer,short,60,0,0,0.6580518999999185
S001,mullerlyer,short,60,0,0,0.8497302999994645
S001,mullerlyer,short,60,0,0,0.9007078000004185
S001,mullerlyer,short,60,1,1,0.5866538000000219
S001,mullerlyer,short,60,0,1,0.9807393000000956
S001,mullerlyer,short,60,1,1,0.8533532999999807
S001,mullerlyer,short,60,1,1,0.9329728000002432
S001,mullerlyer,short,60,0,1,1.44672300000002
S001,mullerlyer,short,60,0,0,1.056093299999702
S001,mullerlyer,short,60,1,0,0.677570800000467
S001,mullerlyer,short,60,1,1,0.605447599999934
S001,mullerlyer,short,60,1,1,0.589824800000315
S001,mullerlyer,short,60,1,0,1.3287389000006442
S001,mullerlyer,short,60,1,1,0.5485413999995217
S001,mullerlyer,short,60,0,0,0.6712220999997953
S001,mullerlyer,short,60,0,0,0.6547101000005568
S001,mullerlyer,short,60,1,0,0.6592476999994688
S001,mullerlyer,short,60,1,1,0.965863200000058
S001,mullerlyer,short,60,1,1,0.7534638000006453
S001,mullerlyer,short,60,0,1,0.7035013000004255
S001,mullerlyer,short,60,1,1,0.6449887999997372
S001,mullerlyer,short,50,0,0,0.8662325999994209
S001,mullerlyer,short,50,0,0,0.8729053999995813
S001,mullerlyer,short,50,1,1,0.6382309999999052
S001,mullerlyer,short,50,0,1,0.5696810999997979
S001,mullerlyer,short,50,0,1,0.7652846000000864
S001,mullerlyer,short,50,0,0,1.061648099999729
S001,mullerlyer,short,50,0,1,0.6218920000001162
S001,mullerlyer,short,50,0,1,0.7826979999999821
S001,mullerlyer,short,50,0,1,0.8080497000000832
S001,mullerlyer,short,50,1,1,0.6115604999995412
S001,mullerlyer,short,50,1,1,1.0285170999995898
S001,mullerlyer,short,50,1,1,0.8270606999994925
S001,mullerlyer,short,50,1,1,0.733881800000745
S001,mullerlyer,short,50,0,1,0.6038470000003144
S001,mullerlyer,short,50,1,1,0.7376044000002366
S001,mullerlyer,short,50,0,0,0.7830518999999185
S001,mullerlyer,short,50,1,1,0.7574274999997215
S001,mullerlyer,short,50,0,1,1.7417306999996072
S001,mullerlyer,short,50,0,1,1.5137525000000096
S001,mullerlyer,short,50,0,1,0.7997625999996671
S001,mullerlyer,short,50,1,1,0.7476145999999062
S001,mullerlyer,short,50,0,1,0.7429130000000441
S001,mullerlyer,short,50,1,1,0.6099126000008255
