subj_idx,bias_source,bias_direction,stim,response,rt
S002,baserate,short,0,0,1.88016999886887
S002,baserate,short,0,0,3.10969999945419
S002,baserate,short,0,0,2.22196999949098
S002,baserate,short,0,0,1.93389000004709
S002,baserate,short,0,0,3.52103999977724
S002,baserate,short,0,0,1.77080999860585
S002,baserate,short,1,1,2.61078000036197
S002,baserate,short,1,1,3.46519500043256
S002,baserate,short,0,0,3.12157999866459
S002,baserate,short,0,0,4.71580500005245
S002,baserate,short,1,1,2.64462999952869
S002,baserate,short,0,0,4.15984499973238
S002,baserate,short,1,1,5.22832499991434
S002,baserate,short,0,0,3.16734000111699
S002,baserate,short,1,1,4.26830500012798
S002,baserate,short,0,0,3.28626999956922
S002,baserate,short,0,0,2.16474499880986
S002,baserate,short,1,1,3.15199000046134
S002,baserate,short,1,1,3.81923500124617
S002,baserate,short,0,0,4.53762999952035
S002,baserate,short,1,0,4.64924499910312
S002,baserate,short,1,0,5.0127199998337
S002,baserate,short,1,1,4.36565500154896
S002,baserate,short,0,0,3.0390950011514
S002,baserate,short,0,0,4.17279499931753
S002,baserate,short,0,0,2.4163499998337
S002,baserate,short,0,0,2.44249000036418
S002,baserate,short,0,0,2.35593500005202
S002,baserate,short,0,0,4.30127500043554
S002,baserate,short,0,0,1.37101499878542
S002,baserate,short,0,0,1.02783500017898
S002,baserate,short,0,0,1.70230500210269
S002,baserate,short,0,0,2.41687500074565
S002,baserate,short,0,0,2.52897500027537
S002,baserate,short,0,0,1.41511499891298
S002,baserate,short,0,0,3.77070499971271
S002,baserate,short,0,0,1.44380499938428
S002,baserate,short,1,1,2.86967500149233
S002,baserate,short,0,0,5.2073000003062
S002,baserate,short,1,0,2.8717450013463
S002,baserate,short,0,0,3.36677499854267
S002,baserate,short,0,0,2.20966499905305
S002,baserate,short,0,0,3.34816000037568
S002,baserate,short,0,0,1.19944499836028
S002,baserate,short,1,1,4.18751999964996
S002,baserate,short,1,0,3.21604000074446
S002,baserate,short,0,0,2.97559500063224
S002,baserate,short,0,0,1.87607000048995
S002,baserate,short,0,0,1.30368999938667
S002,baserate,short,0,0,1.81736999947267
S002,baserate,short,0,0,1.24831000124156
S002,baserate,short,1,0,3.11641999901371
S002,baserate,short,1,1,3.04915499835031
S002,baserate,short,0,0,4.35512999977367
S002,baserate,short,0,0,2.23766000017881
S002,baserate,short,1,0,2.66671499999285
S002,baserate,short,0,0,4.82785500031634
S002,baserate,short,0,0,2.70397000001013
S002,baserate,short,1,1,3.07354499924719
S002,baserate,short,0,0,4.1538999973412
S002,baserate,short,0,0,2.83493499786394
S002,baserate,short,0,0,2.02293499910831
S002,baserate,short,1,0,3.78315500002189
S002,baserate,short,0,0,3.64331999842525
S002,baserate,short,0,0,2.48327999906855
S002,baserate,short,1,1,3.03617999840932
S002,baserate,short,1,1,3.07511499930875
S002,baserate,short,0,0,2.49678499788182
S002,baserate,short,0,0,3.61486999877648
S002,baserate,short,1,0,2.37170499907825
S002,baserate,short,0,0,4.34612999848263
S002,baserate,short,0,0,4.01684499856565
S002,baserate,short,0,0,1.67797500039101
S002,baserate,short,0,0,0.946574999170469
S002,baserate,short,1,1,2.40702999916136
S002,baserate,short,1,1,3.9821350000453
S002,baserate,short,0,0,3.6710450013274
S002,baserate,short,0,0,2.11690000087738
S002,baserate,short,1,1,2.46071999847369
