participant,bias_source,bias_direction,rep,d,ccrit
1,baserate,long,1.3866666666666667,1.1907277994665972,0.3961625749440317
1,baserate,short,-7.013333333333334,1.821818611981659,0.20804907507173032
2,mullerlyer,long,11.866666666666667,1.2116236513539387,0.10049073716311813
2,mullerlyer,short,-6.613333333333333,1.473088394541597,-0.1537026899995822
3,payoff,long,-28.213333333333335,2.4082670025844886,0.4092248933600585
3,payoff,short,-18.48,2.31966095749239,-0.4535279159061076
4,baserate,long,24.066666666666666,2.2802079601773513,-0.7978275307641529
4,baserate,short,0.9733333333333334,1.5470761772090917,-0.2940324352735958
5,payoff,long,-1.32,2.3736117944622572,-0.5638801740210408
5,payoff,short,2.84,3.011271387156584,-0.7107270856461064
7,baserate,long,-9.813333333333333,1.8821789433232723,0.46158381833068607
7,baserate,short,-11.8,1.1983628596147382,-0.19245717793600547
8,payoff,long,-9.453333333333333,3.621434339534031,0.40564560945738337
8,payoff,short,-3.1333333333333333,3.9670488504765684,0.23283835398611474
9,baserate,long,2.466666666666667,1.629855033706958,0.3354218635225289
9,baserate,short,-5.426666666666667,1.6485910437146842,-0.4175712699859785
10,payoff,long,-0.13333333333333333,1.2703508204025464,0.685328993666007
10,payoff,short,-2.6,1.1944233505439146,-0.5135599413648283
11,baserate,long,-8.56,2.1191707901703136,0.3430878949071654
11,baserate,short,-26.133333333333333,1.8027430907391901,-0.9013715453695951
14,baserate,long,-14.68,1.198362859614738,0.19245717793600553
14,baserate,short,-36.29333333333334,1.784068024056133,-0.17553651185007513
15,payoff,long,-25.6,1.5542838303647357,0.11310497208801273
15,payoff,short,-28.186666666666667,1.9487443406084524,-0.430699390005406
16,mullerlyer,long,-1.7733333333333334,1.5324692993350537,0.4782171371038867
16,mullerlyer,short,-12.893333333333333,1.0949683367087142,0.2941370652185573
17,payoff,long,-2.24,0.5849428416524819,0.17522737828826737
17,payoff,short,-12.04,1.4092960671344212,-0.34618924031601683
18,mullerlyer,long,-20.08,1.3280738861887103,5.551115123125783e-17
