model,bf,model_label
a,29.56064849556772,BR&ML&PO
b,10.29607344973336,PO
c,-5.409351473420708,ML
d,6.821087614390488,BR
e,27.0685678454399,BR & PO
f,12.158756670484806,ML & PO
g,8.471377395288085,BR & ML
AA,31.898638962636394,BR = ML = PO
BB,31.61379003988999,(BR=ML) < PO
CC,28.684164233311325,(BR=ML) > PO
DD,29.127123750455894,(ML=PO) < BR
EE,29.52168576505745,(ML=PO) > BR
FF,28.449923099205453,(BR=PO) < ML
GG,32.296781781735405,(BR=PO) > ML
HH,31.11131176450809,BR > ML < PO & BR < PO
II,29.276871325761686,BR > ML < PO & BR > PO
JJ,26.548740209311617,BR < ML > PO & BR < PO
KK,24.88801477359696,BR < ML > PO & BR > PO
LL,28.742105279389275,BR < ML < PO & BR < PO
MM,25.83270480822447,BR > ML > PO & BR > PO
UN,-6.663949962923563,BR & ML & PO (no effect in all manipulations)
