model,bf,model_label
a,67.23113782237361,BR&ML&PO
b,37.11553691918671,PO
c,69.58929048533236,ML
d,37.16591197797061,BR
e,35.78975692473588,BR & PO
f,68.24745701196099,ML & PO
g,68.42992662338159,BR & ML
AA,42.8389607379363,BR = ML = PO
BB,-Inf,(BR=ML) < PO
CC,47.893928328330176,(BR=ML) > PO
DD,40.10221147675955,(ML=PO) < BR
EE,44.37603749833119,(ML=PO) > BR
FF,68.43992176855677,(BR=PO) < ML
GG,-Inf,(BR=PO) > ML
HH,-Inf,BR > ML < PO & BR < PO
II,-Inf,BR > ML < PO & BR > PO
JJ,66.89279973841047,BR < ML > PO & BR < PO
KK,68.89510143369863,BR < ML > PO & BR > PO
LL,-Inf,BR < ML < PO & BR < PO
MM,-Inf,BR > ML > PO & BR > PO
UN,38.50881693010064,BR & ML & PO (no effect in all manipulations)
